original file/module,original public item path,kind,original signature/arity/argument order,port module/item path,port signature/arity/argument order,status,evidence
bastet/src/Interface.ml,Interface.TYPE through Interface.BICONTRAVARIANT,module type,"all core algebra, FP, fold/traverse, bifold/bitraverse module types",Bastet_Interface.TYPE through Bastet_Interface.BICONTRAVARIANT,"same module type names; ReScript t<'a> / t<'a,'b> syntax",equivalent,"source-equivalence review; yarn build; Test_Semantic_Audit compile witness"
bastet/src/Interface.ml,Interface.ordering,type,"polymorphic variants less_than/equal_to/greater_than",Bastet_Interface.ordering,"polymorphic variants #less_than/#equal_to/#greater_than",equivalent,"Test_Semantic_Audit Interface ordering test"
bastet/src/Interface.ml,Interface.invert / int_to_ordering / unsafe_compare,let,"ordering -> ordering; int -> ordering; 'a -> 'a -> ordering",Bastet_Interface.invert / int_to_ordering / unsafe_compare,"same arity and argument order",equivalent,"Test_Semantic_Audit Interface ordering test"
bastet/src/Interface.ml,Interface.Ordering,module functor,"ORD -> derived lt/lte/gt/gte helpers",Bastet_Interface.Ordering,"ORD -> same helpers",equivalent,"source-equivalence review; existing Ord law tests"
bastet/src/Verify.ml,Verify.Compare,module,"law checks parameterized by explicit equality",Bastet_Verify.Compare,"same compare-based law checks",equivalent,"Promise tests use Verify.Compare; yarn test"
bastet/src/Verify.ml,Verify.* law modules,module functor,"Medial_Magma through Bicontravariant law modules",Bastet_Verify.*,"same module functors and law function names",equivalent,"329 passing tests exercise law modules across module families"
bastet/src/Test.ml,Test.TEST / ARBITRARY / ARBITRARY_A / QUICKCHECK,module type,"test framework abstraction and property runner abstraction",Bastet_Test_Core.TEST / ARBITRARY / ARBITRARY_A / QUICKCHECK,"same semantics; ReScript type parameter syntax",equivalent,"MochaI.res and JsVerifyI.res compile; translated law suites pass"
bastet/src/Test.ml,Test.Make and family suites,module functor,"generic reusable law suites for Array/Bool/Default/Float/List/Int/Option/String",Bastet_Test_Core.Make and Bastet_Test_*,"same reusable law suite structure split into ReScript modules",equivalent,"existing Test_*.res suites plus 329 passing tests"
bastet/src/Array.mli,Array.zip_with / zip,let,"('a -> 'b -> 'c) -> 'a array -> 'b array -> 'c array; zip returns tuple array",Bastet_Array.zip_with / zip,"(('a,'b)=>'c, array<'a>, array<'b>)=>array<'c>; zip returns array<('a,'b)>",equivalent,"Test_Array plus Test_Semantic_Audit shorter/empty zip tests"
bastet/src/Array.mli,Array.Functor/Alt/Apply/Applicative/Monad,module,"array FP instances",Bastet_Array.Functor/Alt/Apply/Applicative/Monad,"same exposed functions and argument order",equivalent,"Array law tests"
